mu_B [MeV],Energy Density [MeV/fm^3],Pressure [MeV/fm^3]
1407,344.51350540932987,132.1703290627861
1408,345.04105370697033,132.59396141719952
1409,345.5688499468697,133.01807688080925
1410,346.09689489608843,133.44267529756374
1411,346.62518931736656,133.86775651233538
1412,347.15373396915624,134.29332037091382
1413,347.68252960565394,134.71936671999924
1414,348.2115769768335,135.1458954071972
1415,348.74087682847716,135.57290628101083
1416,349.27042990220804,136.00039919083554
1417,349.8002369355212,136.42837398695306
1418,350.3302986618145,136.8568305205243
1419,350.8606158104199,137.2857686435844
1420,351.39118910663325,137.71518820903617
1421,351.92201927174534,138.14508907064416
1422,352.45310702307125,138.57547108302887
1423,352.9844530739797,139.00633410166074
1424,353.51605813392337,139.43767798285458
1425,354.04792290846717,139.86950258376342
1426,354.5800480993176,140.30180776237356
1427,355.1124344043508,140.7345933774978
1428,355.6450825176413,141.16785928877093
1429,356.1779931294898,141.60160535664326
1430,356.71116692645114,142.035831442376
1431,357.2446045913615,142.4705374080348
1432,357.7783068033659,142.90572311648518
1433,358.31227423794553,143.34138843138663
1434,358.84650756694384,143.77753321718743
1435,359.3810074585933,144.21415733911945
1436,359.91577457754227,144.65126066319272
1437,360.45080958488,145.08884305619043
1438,360.9861131381635,145.52690438566347
1439,361.5216858914425,145.9654445199256
1440,362.05752849528466,146.40446332804848
1441,362.5936415968013,146.84396067985594
1442,363.1300258396721,147.28393644591995
1443,363.6666818641687,147.7243904975547
1444,364.20361030718135,148.16532270681282
1445,364.7408118022407,148.60673294647918
1446,365.2782869795436,149.0486210900672
1447,365.8160364659765,149.4909870118134
1448,366.35406088513787,149.93383058667254
1449,366.89236085736314,150.37715169031384
1450,367.4309369997473,150.82095019911526
1451,367.9697899261674,151.26522599015908
1452,368.50892024730604,151.70997894122794
1453,369.0483285706732,152.15520893079943
1454,369.58801550062935,152.60091583804214
1455,370.1279816384071,153.04709954281066
1456,370.6682275821331,153.49375992564185
1457,371.20875392685036,153.9408968677496
1458,371.7495612645393,154.3885102510212
1459,372.2906501841394,154.83659995801227
1460,372.83202127157017,155.28516587194295
1461,373.3736751097526,155.7342078766935
1462,373.9156122786297,156.18372585679984
1463,374.4578333551872,156.63371969744992
1464,375.0003389134738,157.08418928447855
1465,375.543129524622,157.53513450436412
1466,376.08620575686797,157.98655524422423
1467,376.62956817557125,158.43845139181138
1468,377.1732173432349,158.89082283550934
1469,377.71715381952504,159.34366946432868
1470,378.2613781612902,159.79699116790317
1471,378.80589092258043,160.2507878364853
1472,379.35069265466706,160.70505936094324
1473,379.8957839060606,161.15980563275568
1474,380.44116522253074,161.61502654400937
1475,380.986837147124,162.07072198739422
1476,381.5328002201826,162.52689185619988
1477,382.07905497936304,162.98353604431207
1478,382.6256019596537,163.4406544462086
1479,383.17244169339324,163.89824695695597
1480,383.7195747102884,164.35631347220513
1481,384.26700153743144,164.81485388818842
1482,384.8147226993181,165.27386810171566
1483,385.3627387178647,165.73335601017024
1484,385.9110501124258,166.1933175115063
1485,386.4596573998106,166.65375250424472
1486,387.0085610943006,167.11466088746906
1487,387.55776170766626,167.57604256082314
1488,388.1072597491833,168.03789742450695
1489,388.65705572564997,168.5002253792731
